employee_id,first_name,last_name,email,phone_number,job_id,salary,commission_pct,manager_id,department_id
100,Alexander,Austin,AAUSTIN,594.289.1537,AD_PRES,20945,,102,90
101,Diana,Davis,DDAVIS,547.405.8341,AD_VP,3514,,118,40
102,Steven,Austin,SAUSTIN,566.115.3388,AD_VP,8882,,119,100
103,Diana,Pataballa,DPATABALLA,569.395.9741,MK_MAN,9562,,110,10
104,Steven,Miller,SMILLER,525.436.6340,MK_REP,9243,,100,30
105,Valli,Jones,VJONES,574.961.5207,HR_REP,4442,,110,20
106,Valli,Brown,VBROWN,584.998.2529,IT_PROG,6722,,101,30
107,Lex,King,LKING,575.331.1150,HR_REP,16953,,113,100
108,Steven,Johnson,SJOHNSON,565.418.9666,FI_ACCOUNT,17715,,112,40
109,Sarah,Davis,SDAVIS,525.711.3374,AD_VP,15475,,110,50
110,Bruce,Martinez,BMARTINEZ,570.510.9552,MK_REP,7748,,105,10
111,Alexander,Jones,AJONES,510.697.2661,MK_MAN,15596,,114,70
112,David,Ernst,DERNST,589.564.2614,IT_PROG,17231,,117,10
113,Alexander,King,AKING,501.557.6563,SA_REP,3987,0.1,107,60
114,John,Garcia,JGARCIA,537.440.1895,FI_MGR,17033,,103,50
115,Lex,Martinez,LMARTINEZ,584.907.3083,IT_PROG,13624,,111,10
116,Paul,Martinez,PMARTINEZ,556.150.5146,IT_PROG,11697,,105,30
117,John,Faviet,JFAVIET,595.492.1314,AD_PRES,11122,,,70
118,Sarah,Jones,SJONES,515.545.8938,MK_MAN,22909,,112,90
119,Linda,Ernst,LERNST,599.749.3310,SA_MAN,15985,,106,70
120,Alexander,Hunold,AHUNOLD,526.681.6432,MK_MAN,6279,,105,100
121,Linda,De Haan,LDEHAAN,561.265.8920,FI_MGR,9460,,110,20
122,Emily,Jones,EJONES,559.331.7560,MK_MAN,15262,,100,60
123,Lex,Garcia,LGARCIA,576.359.9483,AD_PRES,16029,,116,20
124,Bruce,Garcia,BGARCIA,547.874.7907,MK_MAN,9754,,104,100
125,James,Kochhar,JKOCHHAR,566.380.9099,IT_PROG,4264,,111,40
126,John,Jones,JJONES,593.670.5217,FI_MGR,17369,,104,20
127,Bruce,Austin,BAUSTIN,517.227.6619,SA_REP,4989,0.2,115,30
128,Jessica,Johnson,JJOHNSON,598.153.6275,FI_ACCOUNT,22127,,109,100
129,John,Garcia,JGARCIA,550.817.7935,MK_REP,15366,,106,80
130,Laura,Miller,LMILLER,508.415.5904,FI_ACCOUNT,20991,,113,10
131,Alexander,Hunold,AHUNOLD,588.249.3732,SA_REP,16145,0.15,111,10
132,Robert,Kochhar,RKOCHHAR,511.984.6954,SA_MAN,10326,0.1,110,60
133,Michael,King,MKING,595.569.6616,IT_PROG,8089,,117,60
134,Paul,Garcia,PGARCIA,543.802.1104,MK_MAN,14749,,111,10
135,Linda,Martinez,LMARTINEZ,510.394.8197,IT_PROG,21964,,118,50
136,Alexander,Greenberg,AGREENBERG,538.134.5618,FI_MGR,21259,,109,100
137,Laura,Miller,LMILLER,519.985.2640,HR_REP,20782,,102,70
138,James,Johnson,JJOHNSON,517.610.8399,MK_REP,11069,,102,10
139,Sarah,Garcia,SGARCIA,520.179.7077,SA_MAN,22162,0.25,118,60
140,James,Brown,JBROWN,527.569.1779,HR_REP,23897,,107,10
141,Steven,Lorentz,SLORENTZ,586.720.5122,HR_REP,23984,,116,80
142,John,Austin,JAUSTIN,505.828.3829,FI_MGR,3327,,113,60
143,Robert,Johnson,RJOHNSON,512.944.1600,AD_PRES,23428,,106,90
144,Jessica,Garcia,JGARCIA,579.163.2713,MK_MAN,5376,,113,50
145,Daniel,Faviet,DFAVIET,501.419.9368,AD_VP,11668,,106,20
146,Diana,Brown,DBROWN,548.863.1447,IT_PROG,17399,,118,90
147,Alexander,Brown,ABROWN,565.846.6292,IT_PROG,10518,,106,90
148,John,Pataballa,JPATABALLA,538.689.2437,AD_VP,7303,,100,90
149,Neena,Brown,NBROWN,548.853.5429,HR_REP,5874,,112,50
150,David,Martinez,DMARTINEZ,584.888.8360,AD_PRES,4176,,104,20
151,John,Martinez,JMARTINEZ,527.294.6066,AD_PRES,11833,,115,100
152,Neena,Jones,NJONES,513.947.9053,SA_REP,20087,0.2,113,80
153,David,Pataballa,DPATABALLA,531.297.8127,MK_REP,10572,,108,50
154,John,Jones,JJONES,557.764.7941,IT_PROG,15693,,110,40
155,Laura,Greenberg,LGREENBERG,517.651.2198,AD_PRES,16126,,118,10
156,Robert,Johnson,RJOHNSON,593.627.3556,MK_MAN,22147,,103,90
157,Robert,Jones,RJONES,585.860.1726,IT_PROG,20075,,107,60
158,Sarah,Davis,SDAVIS,589.395.8906,SA_MAN,8035,,107,90
159,Jessica,Faviet,JFAVIET,516.347.1511,MK_MAN,16618,,101,80
160,Michael,Miller,MMILLER,581.146.1351,HR_REP,20430,,114,20
161,Robert,Lorentz,RLORENTZ,515.230.2478,SA_MAN,23448,,103,10
162,Michael,Faviet,MFAVIET,529.700.1906,HR_REP,11773,,111,70
163,Robert,Miller,RMILLER,520.377.7424,SA_MAN,11037,,110,100
164,Lex,Rodriguez,LRODRIGUEZ,592.123.5272,MK_MAN,4848,,108,60
165,Sarah,Rodriguez,SRODRIGUEZ,568.366.8153,IT_PROG,5547,,115,40
166,James,Garcia,JGARCIA,520.978.5793,FI_ACCOUNT,4827,,106,80
167,Robert,Greenberg,RGREENBERG,562.683.8922,IT_PROG,22949,,113,10
168,Robert,Faviet,RFAVIET,502.217.6966,IT_PROG,16459,,119,70
169,James,Garcia,JGARCIA,579.701.5885,FI_ACCOUNT,8147,,104,20
170,Jessica,Brown,JBROWN,592.479.2605,AD_PRES,16324,,109,70
171,James,Rodriguez,JRODRIGUEZ,575.108.9088,AD_VP,16712,,107,20
172,Steven,Brown,SBROWN,532.994.4353,AD_PRES,10224,,108,100
173,Michael,Kochhar,MKOCHHAR,502.831.8092,SA_MAN,4357,0.15,105,60
174,Paul,Greenberg,PGREENBERG,546.474.8826,HR_REP,20778,,106,10
175,Steven,Ernst,SERNST,525.720.5037,FI_MGR,5269,,119,40
176,James,Davis,JDAVIS,572.527.5566,SA_MAN,20007,0.1,102,50
177,Valli,Hunold,VHUNOLD,571.953.4024,AD_VP,21584,,108,100
178,Valli,Lorentz,VLORENTZ,528.654.4839,SA_MAN,5972,,108,50
179,Alexander,Brown,ABROWN,596.807.6568,SA_REP,5280,0.25,102,10
180,Valli,Jones,VJONES,561.769.7198,MK_REP,15517,,118,60
181,David,Smith,DSMITH,509.308.4308,MK_REP,5360,,111,100
182,Bruce,Hunold,BHUNOLD,509.345.1477,AD_VP,9156,,116,30
183,James,Pataballa,JPATABALLA,563.977.4062,HR_REP,6676,,103,80
184,Neena,Garcia,NGARCIA,514.544.2665,AD_PRES,6956,,112,100
185,Paul,Hunold,PHUNOLD,533.836.4242,HR_REP,16786,,106,100
186,James,Johnson,JJOHNSON,575.823.9947,SA_REP,11336,0.2,118,20
187,Daniel,Greenberg,DGREENBERG,575.429.1933,SA_MAN,13231,0.25,100,100
188,Daniel,Greenberg,DGREENBERG,538.637.3832,AD_VP,17975,,114,70
189,Linda,Faviet,LFAVIET,532.485.1651,MK_MAN,10933,,110,20
190,Linda,Miller,LMILLER,559.357.1756,SA_MAN,5369,0.1,103,50
191,Diana,Smith,DSMITH,555.355.4296,IT_PROG,23272,,114,30
192,Daniel,Ernst,DERNST,579.947.7782,AD_VP,13839,,105,80
193,Lex,Pataballa,LPATABALLA,597.853.1354,MK_MAN,18971,,106,40
194,Linda,De Haan,LDEHAAN,531.599.6390,SA_MAN,9095,0.15,119,70
195,Neena,Smith,NSMITH,565.564.7954,MK_MAN,20662,,117,40
196,Emily,Smith,ESMITH,584.135.6998,FI_ACCOUNT,8595,,105,60
197,Emily,Smith,ESMITH,588.230.5293,IT_PROG,9265,,117,80
198,Valli,King,VKING,592.486.8956,SA_REP,21093,0.1,112,50
